"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Visibility","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.publicationStatus","Rights.permission","Name.actor","Name.director","Name.subject","Name.producer","Name.photographer","Name.costumeDesigner","Name.distributor","Subject.descriptiveTopic","AltTitle.uniform","Language","Name.repository","Name.cinematographer","Subject","Subject.geographicPlace","Name.artDirector","Name.setDesigner","Alt ID.local","Format.extent","Format.dimensions","Title","Date.normalized","Description.caption","Date.creation","Description.note","AltTitle.other","AltTitle.uniform","Description.abstract","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Motion Picture Stills, 1903-. Collection 195","ark:/21198/zz001ntd7r/6929x19d","ark:/21198/zz001ntd7r","","","Page","mpstills/masters/21198-zz001ntd7r_1661713_master.tif","2","","","","","private","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ntd7r%2F6929x19d",""
"Motion Picture Stills, 1903-. Collection 195","ark:/21198/zz001ntd7r/6b90wf9d","ark:/21198/zz001ntd7r","","","Page","mpstills/masters/21198-zz001ntd7r-1-master.tif","1","","","","","private","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ntd7r%2F6b90wf9d",""
